project,risk,status,compliance,report_count,has_schedule,scope,office,month,year,day,risk_previous1,risk_previous2,risk_previous3,project_risk_likelihood,estimated_days_finish,report_word_count,poa_word_count,manager_risk_likelihood,manager_project_count
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,1.0,tramitando para contratação,0.9879,32,1,Corporativo,Corporativo,3,2015,17.13932980599647,0,0,0,0.014285714285714285,206.8941798941799,67.0,2.0,0.02127659574468085,1
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,1.0,tramitando para contratação,0.9879,32,1,Corporativo,Corporativo,4,2015,6.0,1,0,0,0.024096385542168676,269.0,65.0,2.0,0.03333333333333333,1
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,1.0,tramitando para contratação,0.9879,32,1,Corporativo,Corporativo,5,2015,11.0,1,1,0,0.030927835051546393,234.0,89.0,2.0,0.04054054054054054,1
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,0.0,em andamento,0.9879,32,1,Corporativo,Corporativo,6,2015,29.0,1,1,1,0.036036036036036036,185.0,31.0,57.0,0.045454545454545456,3
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,0.0,em andamento,0.9879,32,1,Corporativo,Corporativo,6,2015,1.0,1,1,1,0.036036036036036036,213.0,35.0,30.0,0.045454545454545456,3
ea6a386b2f8dd54cacba52160fada7072e9f935a,0.0,não iniciado,1.0,8,1,Estruturante,CENIN,6,2015,17.13932980599647,0,0,0,0.009009009009009009,206.8941798941799,66.3482280431433,24.486902927580893,0.045454545454545456,3
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,1.0,em andamento,0.9879,32,1,Corporativo,Corporativo,7,2015,31.0,0,0,0,0.036036036036036036,153.0,30.0,37.0,0.045454545454545456,2
ea6a386b2f8dd54cacba52160fada7072e9f935a,0.0,não iniciado,1.0,8,1,Estruturante,CENIN,7,2015,17.13932980599647,0,0,0,0.009009009009009009,206.8941798941799,66.3482280431433,24.486902927580893,0.045454545454545456,2
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,0.0,em andamento,0.9879,32,1,Corporativo,Corporativo,8,2015,31.0,1,0,0,0.04132231404958678,182.0,16.0,37.0,0.05102040816326531,2
ea6a386b2f8dd54cacba52160fada7072e9f935a,0.0,em andamento,1.0,8,1,Estruturante,CENIN,8,2015,31.0,0,0,0,0.008264462809917356,179.0,66.3482280431433,24.486902927580893,0.05102040816326531,2
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,1.0,em andamento,0.9879,32,1,Corporativo,Corporativo,9,2015,30.0,0,0,0,0.03731343283582089,152.0,53.0,19.0,0.04504504504504504,2
ea6a386b2f8dd54cacba52160fada7072e9f935a,0.0,em andamento,1.0,8,1,Estruturante,CENIN,9,2015,30.0,0,0,0,0.007462686567164179,149.0,66.3482280431433,24.486902927580893,0.04504504504504504,2
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,0.0,em andamento,0.9879,32,1,Corporativo,Corporativo,10,2015,29.0,1,0,0,0.0375,123.0,32.0,1.0,0.043795620437956206,2
ea6a386b2f8dd54cacba52160fada7072e9f935a,0.0,tramitando para contratação,1.0,8,1,Estruturante,CENIN,10,2015,29.0,0,0,0,0.00625,120.0,66.3482280431433,24.486902927580893,0.043795620437956206,2
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,0.0,em andamento,0.9879,32,1,Corporativo,Corporativo,11,2015,30.0,0,0,0,0.03260869565217391,91.0,41.0,11.0,0.037267080745341616,2
ea6a386b2f8dd54cacba52160fada7072e9f935a,0.0,tramitando para contratação,1.0,8,1,Estruturante,CENIN,11,2015,30.0,0,0,0,0.005434782608695652,88.0,66.3482280431433,24.486902927580893,0.037267080745341616,2
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,1.0,em andamento,0.9879,32,1,Corporativo,Corporativo,12,2015,17.13932980599647,0,0,0,0.028985507246376812,206.8941798941799,32.0,1.0,0.03260869565217391,2
ea6a386b2f8dd54cacba52160fada7072e9f935a,0.0,em andamento,1.0,8,1,Estruturante,CENIN,12,2015,17.13932980599647,0,0,0,0.004830917874396135,206.8941798941799,66.3482280431433,24.486902927580893,0.03260869565217391,2
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,0.0,em andamento,0.9879,32,1,Corporativo,Corporativo,1,2016,11.0,1,0,0,0.03125,64.0,44.0,31.0,0.03482587064676617,3
ea6a386b2f8dd54cacba52160fada7072e9f935a,0.0,em andamento,1.0,8,1,Estruturante,CENIN,1,2016,29.0,0,0,0,0.004464285714285714,28.0,66.3482280431433,24.486902927580893,0.03482587064676617,3
ea6a386b2f8dd54cacba52160fada7072e9f935a,0.0,em andamento,1.0,8,1,Estruturante,CENIN,1,2016,11.0,0,0,0,0.004464285714285714,46.0,66.3482280431433,24.486902927580893,0.03482587064676617,3
d4a12fad3a1553d1aa8d945c6d8c46e4b733ae5e,0.0,em andamento,0.9879,32,1,Corporativo,Corporativo,2,2016,1.0,0,0,0,0.03017241379310345,43.0,50.0,70.0,0.03349282296650718,1
